title,keyword,abstract,link
[A Review of Pathophysiology and Neuropsychiatric Manifestations of COVID-19 - PubMed],                  Keywords:                        COVID-19; Hyperinflammation; Neuropsychiatric; Pathophysiology; Stroke.      ,"[                                              Introduction:                    The outbreak of coronavirus disease 2019 (COVID-19) has become one of the most serious pandemics of the recent times. Since this pandemic began, there have been numerous reports about the COVID-19 involvement of the nervous system. There have been reports of both direct and indirect involvement of the central and peripheral nervous system by the virus.                                                        Objective:                    To review the neuropsychiatric manifestations along with corresponding pathophysiologic mechanisms of nervous system involvement by the COVID-19.                                                        Background:                    Since the beginning of the disease in humans in the later part of 2019, the coronavirus disease 2019 (COVID-19) pandemic has rapidly spread across the world with over 2,719,000 reported cases in over 200 countries [World Health Organization. Coronavirus disease 2019 (COVID-19) situation report-96.,]. While patients typically present with fever, shortness of breath, sore throat, and cough, neurologic manifestations have been reported, as well. These include the ones with both direct and indirect involvement of the nervous system. The reported manifestations include anosmia, ageusia, central respiratory failure, stroke, acute inflammatory demyelinating polyneuropathy (AIDP), acute necrotizing hemorrhagic encephalopathy, toxic-metabolic encephalopathy, headache, myalgia, myelitis, ataxia, and various neuropsychiatric manifestations. These data were derived from the published clinical data in various journals and case reports.                                                        Conclusion:                    The neurological manifestations of the COVID-19 are varied and the data about this continue to evolve as the pandemic continues to progress.                                ]",https://pubmed.ncbi.nlm.nih.gov//32494854/
"[Hypertension, Thrombosis, Kidney Failure, and Diabetes: Is COVID-19 an Endothelial Disease? A Comprehensive Evaluation of Clinical and Basic Evidence - PubMed]","                  Keywords:                        ACE2, acute kidney injury; COVID; Kawasaki disease; blood pressure; catepsin; coronavirus; cytokine storm; endothelium; heparin.      ","[                                          The symptoms most commonly reported by patients affected by coronavirus disease (COVID-19) include cough, fever, and shortness of breath. However, other major events usually observed in COVID-19 patients (e.g., high blood pressure, arterial and venous thromboembolism, kidney disease, neurologic disorders, and diabetes mellitus) indicate that the virus is targeting the endothelium, one of the largest organs in the human body. Herein, we report a systematic and comprehensive evaluation of both clinical and preclinical evidence supporting the hypothesis that the endothelium is a key target organ in COVID-19, providing a mechanistic rationale behind its systemic manifestations.                                ]",https://pubmed.ncbi.nlm.nih.gov//32403217/
[[Clinical Study and CT Findings of a Familial Cluster of Pneumonia With Coronavirus Disease 2019 (COVID-19)] - PubMed],                  Keywords:                        CT; Coronavirus disease 2019; Familial cluster.      ,"[                                          We studied the epidemiological and clinical data collected from a family with 5 people, in which there were 3 family member diagnosed as coronavirus disease 2019 (COVID-19). We found that the first patient in this family had Wuhan city travel history. Close contact in daily life was the route of infection. The most common symptoms were fever, cough and weakness. Characteristic imaging changes were found with grass opacity (GGO), consolidation and septal thickening mainly distributed in peripheral and posterior area by thoracic CT scan in the 3 patients. The abnormality in laborotary test included lower white blood cell count, neutrophil count and lymphocyte count，increasing fibrinogen and C-reactive protein，decreasing myohaemoglobin and increasing lactate dehydrogenase. The epidemiological and clinical features could provide quicker diagnosis and better management for the COVID-19 infected patients.                                ]",https://pubmed.ncbi.nlm.nih.gov//32220181/
[Social Capital and Sleep Quality in Individuals Who Self-Isolated for 14 Days During the Coronavirus Disease 2019 (COVID-19) Outbreak in January 2020 in China - PubMed],No Keywords,"[                                          BACKGROUND From the end of December 2019, coronavirus disease 2019 (COVID-19) began to spread in central China. Social capital is a measure of social trust, belonging, and participation. This study aimed to investigate the effects of social capital on sleep quality and the mechanisms involved in people who self-isolated at home for 14 days in January 2020 during the COVID-19 epidemic in central China. MATERIAL AND METHODS Individuals (n=170) who self-isolated at home for 14 days in central China, completed self-reported questionnaires on the third day of isolation. Individual social capital was assessed using the Personal Social Capital Scale 16 (PSCI-16) questionnaire. Anxiety was assessed using the Self-Rating Anxiety Scale (SAS) questionnaire, stress was assessed using the Stanford Acute Stress Reaction (SASR) questionnaire, and sleep was assessed using the Pittsburgh Sleep Quality Index (PSQI) questionnaire. Path analysis was performed to evaluate the relationships between a dependent variable (social capital) and two or more independent variables, using Pearson's correlation analysis and structural equation modeling (SEM). RESULTS Low levels of social capital were associated with increased levels of anxiety and stress, but increased levels of social capital were positively associated with increased quality of sleep. Anxiety was associated with stress and reduced sleep quality, and the combination of anxiety and stress reduced the positive effects of social capital on sleep quality. CONCLUSIONS During a period of individual self-isolation during the COVID-19 virus epidemic in central China, increased social capital improved sleep quality by reducing anxiety and stress.                                ]",https://pubmed.ncbi.nlm.nih.gov//32194290/
[Headaches Associated With Personal Protective Equipment - A Cross-Sectional Study Among Frontline Healthcare Workers During COVID-19 - PubMed],                  Keywords:                        N95; coronavirus disease; coronavirus disease 2019; eyewear; face mask; goggles; headache; healthcare workers; personal protection equipment (PPE).      ,"[                                              Background:                    Coronavirus disease 2019 (COVID-19) is an emerging infectious disease of pandemic proportions. Healthcare workers in Singapore working in high-risk areas were mandated to wear personal protective equipment (PPE) such as N95 face mask and protective eyewear while attending to patients.                                                        Objectives:                    We sought to determine the risk factors associated with the development of de novo PPE-associated headaches as well as the perceived impact of these headaches on their personal health and work performance. The impact of COVID-19 on pre-existing headache disorders was also investigated.                                                        Methods:                    This is a cross-sectional study among healthcare workers at our tertiary institution who were working in high-risk hospital areas during COVID-19. All respondents completed a self-administered questionnaire.                                                        Results:                    A total of 158 healthcare workers participated in the study. Majority [126/158 (77.8%)] were aged 21-35 years. Participants included nurses [102/158 (64.6%)], doctors [51/158 (32.3%)], and paramedical staff [5/158 (3.2%)]. Pre-existing primary headache diagnosis was present in about a third [46/158 (29.1%)] of respondents. Those based at the emergency department had higher average daily duration of combined PPE exposure compared to those working in isolation wards [7.0 (SD 2.2) vs 5.2 (SD 2.4) hours, P &lt; .0001] or medical ICU [7.0 (SD 2.2) vs 2.2 (SD 0.41) hours, P &lt; .0001]. Out of 158 respondents, 128 (81.0%) respondents developed de novo PPE-associated headaches. A pre-existing primary headache diagnosis (OR = 4.20, 95% CI 1.48-15.40; P = .030) and combined PPE usage for &gt;4 hours per day (OR 3.91, 95% CI 1.35-11.31; P = .012) were independently associated with de novo PPE-associated headaches. Since COVID-19 outbreak, 42/46 (91.3%) of respondents with pre-existing headache diagnosis either ""agreed"" or ""strongly agreed"" that the increased PPE usage had affected the control of their background headaches, which affected their level of work performance.                                                        Conclusion:                    Most healthcare workers develop de novo PPE-associated headaches or exacerbation of their pre-existing headache disorders.                                ]",https://pubmed.ncbi.nlm.nih.gov//32232837/
[Neuropathogenesis and Neurologic Manifestations of the Coronaviruses in the Age of Coronavirus Disease 2019: A Review - PubMed],No Keywords,"[                                              Importance:                    Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in December 2019, causing human coronavirus disease 2019 (COVID-19), which has now spread into a worldwide pandemic. The pulmonary manifestations of COVID-19 have been well described in the literature. Two similar human coronaviruses that cause Middle East respiratory syndrome (MERS-CoV) and severe acute respiratory syndrome (SARS-CoV-1) are known to cause disease in the central and peripheral nervous systems. Emerging evidence suggests COVID-19 has neurologic consequences as well.                                                        Observations:                    This review serves to summarize available information regarding coronaviruses in the nervous system, identify the potential tissue targets and routes of entry of SARS-CoV-2 into the central nervous system, and describe the range of clinical neurological complications that have been reported thus far in COVID-19 and their potential pathogenesis. Viral neuroinvasion may be achieved by several routes, including transsynaptic transfer across infected neurons, entry via the olfactory nerve, infection of vascular endothelium, or leukocyte migration across the blood-brain barrier. The most common neurologic complaints in COVID-19 are anosmia, ageusia, and headache, but other diseases, such as stroke, impairment of consciousness, seizure, and encephalopathy, have also been reported.                                                        Conclusions and relevance:                    Recognition and understanding of the range of neurological disorders associated with COVID-19 may lead to improved clinical outcomes and better treatment algorithms. Further neuropathological studies will be crucial to understanding the pathogenesis of the disease in the central nervous system, and longitudinal neurologic and cognitive assessment of individuals after recovery from COVID-19 will be crucial to understand the natural history of COVID-19 in the central nervous system and monitor for any long-term neurologic sequelae.                                ]",https://pubmed.ncbi.nlm.nih.gov//32469387/
[Neurologic Manifestations of Severe Respiratory Viral Contagions - PubMed],                  Keywords:                        encephalitis; meningitis; neurology; respiratory; seizure; virus.      ,"[                                          Endemic and pandemic viral respiratory infections have recently emerged as a critical topic of investigation given the recent severe acute respiratory syndrome coronavirus-2 outbreak. Data from such outbreaks indicate that severe systemic comorbidities including acute neurologic illness are associated with illness and lead to significant outcome differences. Herein, we will discuss the neurologic manifestations of severe viral respiratory infections including coronavirus, influenza, respiratory syncytial virus, metapneumovirus, and enterovirus.                                                        Data sources:                    PubMed and EMBASE were searched by two independent investigators up to March 2020.                                                        Study selection:                    Data selection included preclinical and clinical studies detailing neurologic manifestations of viral respiratory infections.                                                        Data extraction and synthesis:                    Two independent investigators reviewed and extracted the data.                                                        Conclusions:                    Neurologic manifestations including seizures, status epilepticus, encephalitis, critical illness neuromyopathy, acute disseminated encephalomyelitis, acute necrotizing encephalitis, Guillan-Barré syndrome, transverse myelitis, and acute flaccid myelitis have all been associated with severe viral respiratory infections. Having an understanding of the direct neurotropism of such viruses is imperative to understanding pathogenesis, clinical presentation, and potential treatment paradigms aimed at improving morbidity and mortality.                                ]",https://pubmed.ncbi.nlm.nih.gov//32426749/
[[Temporary Hyposmia in COVID-19 Patients] - PubMed],                  Keywords:                        Anosmia; Coronavirus; Dysgeusia; Olfactory disorder; SARS-CoV-2.      ,"[                                              Background:                    This is a report on the high incidence of olfactory dysfunction in COVID-19 patients in the first cohort of COVID-19 patients in Germany (Webasto cluster).                                                        Methods:                    Loss of sense of smell and/or taste was reported by 26 of 63 COVID-19 patients (41%), whereas only 31% of the patients experiencing hyposmia had simultaneous symptoms of rhinitis. Smell tests were performed in 14 of these patients and taste tests in 10. The measurements were conducted in a patient care setting in an early COVID-19 cohort.                                                        Results:                    An olfactory disorder was present in 10/14 patients, before as well as after nasal decongestion. In 2 of these patients, hyposmia was the leading or only symptom of SARS-CoV‑2 infection. All tested patients reported recovery of smell and/or taste within 8 to 23 days.                                                        Conclusion:                    The data imply that a) COVID-19 can lead to hyposmia in a relevant number of patients, the incidence was approximately 30% in this cohort; b) in most cases, the olfactory disturbance was not associated with nasal obstruction, thus indicating a possible neurogenic origin; and c) the olfactory disorder largely resolved within 1-3 weeks after the onset of COVID-19 symptoms. There were no indications of an increased incidence of dysgeusia. These early data may help in the interpretation of COVID-19-associated hyposmia as well as in the counseling of patients, given the temporary nature of hyposmia observed in this study. Furthermore, according to the current experience, hyposmia without rhinitic obstruction can be the leading or even the only symptom of a SARS-CoV‑2 infection.                                ,                                               Hintergrund:                    Wir berichten über das gehäufte Auftreten von Riechstörungen bei COVID-19-Patienten in der ersten Gruppe von COVID-19-Patienten in Deutschland (Webasto-Cluster).                                                        Methode:                    Über den Verlust des Geruch- und/oder Geschmackssinns berichteten 26 von 63 COVID-19-Patienten (41 %), wobei nur bei 31 % der von Hyposmie Betroffenen gleichzeitig Symptome einer Rhinitis vorlagen. Bei 14 Patienten führten wir einen Riechtest und bei 10 einen Schmecktest durch. Die Messungen fanden innerhalb der Krankenversorgung einer frühen COVID-19-Kohorte statt.                                                        Ergebnisse:                    Bei 10/14 Patienten lag sowohl vor als auch nach Abschwellen der Nasenschleimhäute eine Riechstörung vor. Für 2/14 Patienten war die Hyposmie das führende oder sogar das einzige Symptom der SARS-CoV-2-Infektion. Alle Getesteten berichteten über eine Besserung des Geruchs- und/oder Geschmackssinns innerhalb von 8–23 Tagen.                                                        Schlussfolgerung:                    Den vorliegenden Daten zufolge a) kann COVID-19 bei einer nennenswerten Anzahl Patienten zu Hyposmie führen, die Inzidenz betrug ca. 30 % in dieser Kohorte; b) war die Riechstörung überwiegend nicht mit rhinitischen Symptomen assoziiert, was auf eine nichtrhinitische, z. B. neurogene Ursache hinweisen kann; und c) erholte das Riechvermögen sich weitgehend im Laufe von 1–3 Wochen nach Beginn der COVID-19-Symptome. Anhaltspunkte für ein gehäuftes Auftreten einer Schmeckstörung ergaben sich nicht. Diese frühen Ergebnisse können sowohl bei der Interpretation der COVID-19-assoziierten Hyposmie als auch für ein beruhigendes Patentengespräch angesichts der hier beobachteten temporären Natur der Hyposmie hilfreich sein. Darüber hinaus kann nach derzeitiger Erfahrung eine plötzlich aufgetretene Hyposmie ohne Vorliegen einer neuen Nasenatmungsbehinderung (Rhinitis) das führende oder sogar einzige Symptom einer SARS-CoV-2-Infektion sein.                                ]",https://pubmed.ncbi.nlm.nih.gov//32451564/
[The Different Clinical Characteristics of Corona Virus Disease Cases Between Children and Their Families in China - The Character of Children With COVID-19 - PubMed],                  Keywords:                        Coronavirus; children; clinical characteristics; corona virus diseases-19 (COVID-19); severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).      ,"[                                          This study aims to analyze the different clinical characteristics between children and their families infected with severe acute respiratory syndrome coronavirus 2. Clinical data from nine children and their 14 families were collected, including general status, clinical, laboratory test, and imaging characteristics. All the children were detected positive result after their families onset. Three children had fever (22.2%) or cough (11.2%) symptoms and six (66.7%) children had no symptom. Among the 14 adult patients, the major symptoms included fever (57.1%), cough (35.7%), chest tightness/pain (21.4%), fatigue (21.4%) and sore throat (7.1%). Nearly 70% of the patients had normal (71.4%) or decreased (28.6%) white blood cell counts, and 50% (7/14) had lymphocytopenia. There were 10 adults (71.4%) showed abnormal imaging. The main manifestations were pulmonary consolidation (70%), nodular shadow (50%), and ground glass opacity (50%). Five discharged children were admitted again because their stool showed positive result in SARS-CoV-2 PCR. COVID-19 in children is mainly caused by family transmission, and their symptoms are mild and prognosis is better than adult. However, their PCR result in stool showed longer time than their families. Because of the mild or asymptomatic clinical process, it is difficult to recognize early for pediatrician and public health staff.                                ]",https://pubmed.ncbi.nlm.nih.gov//32208917/
[Effects of Progressive Muscle Relaxation on Anxiety and Sleep Quality in Patients With COVID-19 - PubMed],                  Keywords:                        Anxiety; COVID-19; Progressive muscle relaxation; Sleep quality.      ,"[                                              Background:                    Patients with Coronavirus Disease 2019(COVID-19) will experience high levels of anxiety and low sleep quality due to isolation treatment. Some sleep-improving drugs may inhibit the respiratory system and worsen the condition. Prolonged bedside instruction may increase the risk of medical infections.                                                        Objective:                    To investigate the effect of progressive muscle relaxation on anxiety and sleep quality of COVID-19.                                                        Methods:                    In this randomized controlled clinical trial, a total of 51 patients who entered the isolation ward were included in the study and randomly divided into experimental and control groups. The experimental group used progressive muscle relaxation (PMR) technology for 30 min per day for 5 consecutive days. During this period, the control group received only routine care and treatment. Before and after the intervention, the Spielberger State-Trait Anxiety Scale (STAI) and Sleep State Self-Rating Scale (SRSS) were used to measure and record patient anxiety and sleep quality. Finally, data analysis was performed using SPSS 25.0 software.                                                        Results:                    The average anxiety score (STAI) before intervention was not statistically significant (P = 0.730), and the average anxiety score after intervention was statistically significant (P &lt; 0.001). The average sleep quality score (SRSS) of the two groups before intervention was not statistically significant (P = 0.838), and it was statistically significant after intervention (P &lt; 0.001).                                                        Conclusion:                    Progressive muscle relaxation as an auxiliary method can reduce anxiety and improve sleep quality in patients with COVID-19.                                ]",https://pubmed.ncbi.nlm.nih.gov//32379667/
[[COVID-19 in the Emergency Department of Bernhoven Hospital] - PubMed],No Keywords,"[                                              Objective:                    To describe disease presentation and clinical characteristics of patients with COVID-19 presenting to the Emergency Department (ED) of Bernhoven hospital in Uden, the Netherlands.                                                        Design:                    Prospective, descriptive study.                                                        Method:                    The registry focused on atypical symptoms and co-infections. We hypothesized that patients older than 70 years more often have atypical symptoms. The number of co-infections is unknown. Therefore, we prospectively registered medical history, duration of symptoms, symptoms, temperature, lab results and co-infections of patients with confirmed COVID-19 in the period March 4-16th.                                                        Results:                    The clinical characteristics of 107 patients were registered. The average age was 71 years and 41% was female. The median duration of symptoms was 5 days. 19% of patients had not been referred to pulmonary or internal medicine. Symptoms were fever (78%), respiratory complaints (78%), chest pain (28%), abdominal pain (13%), and diarrhea (34%). In 54% of the COVID-19 patients at the ED, the temperature was ≥ 38,0°C, CRP ≥ 50 in 51%, leucocytosis in 12% and elevated LD in 61%. Of 31 patients 24 (77%) had an absolute lymphopenia. Co-infections were seen in 16% of patients. The mortality in the ED was 2% and ICU-admission 5%. On March 25th, 2020 the overall mortality was 22% and ICU-admission 15%.                                                        Conclusion:                    We have seen patients with a very serious disease resulting in a high mortality and ICU-admission. Over 35% of patient did not have the typical symptoms of fever and respiratory complaints; atypical symptoms like chest pain, abdominal pain and diarrhea are frequently seen. There is no difference between patients over and under 70 years. COVID-19 patients can present with atypical symptoms, co-infections and distributed over various medical specialties.                                ]",https://pubmed.ncbi.nlm.nih.gov//32392009/
[Radiographic Examination of the Chest and COVID-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32357307/
[Arthralgia as an Initial Presentation of COVID-19: Observation - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32222804/
[COVID-19: A Global Threat to the Nervous System - PubMed],No Keywords,"[                                          In less than 6 months, the severe acute respiratory syndrome-coronavirus type 2 (SARS-CoV-2) has spread worldwide infecting nearly 6 million people and killing over 350,000. Initially thought to be restricted to the respiratory system, we now understand that coronavirus disease 2019 (COVID-19) also involves multiple other organs including the central and peripheral nervous system. The number of recognized neurologic manifestations of SARS-CoV-2 infection is rapidly accumulating. These may result from a variety of mechanisms including virus-induced hyper-inflammatory and hypercoagulable states, direct virus infection of the CNS, and post-infectious immune mediated processes. Example of COVID-19 CNS disease include encephalopathy, encephalitis, acute disseminated encephalomyelitis, meningitis, ischemic and hemorrhagic stroke, venous sinus thrombosis and endothelialitis. In the peripheral nervous system COVID-19 is associated with dysfunction of smell and taste, muscle injury, the Guillain-Barre syndrome and its variants. Due to its worldwide distribution and multifactorial pathogenic mechanisms, COVID-19 poses a global threat to the entire nervous system. While our understanding of SARS-CoV-2 neuropathogenesis is still incomplete and our knowledge is evolving rapidly, we hope that this review will provide a useful framework and help neurologists in understanding the many neurologic facets of COVID-19.                                ]",https://pubmed.ncbi.nlm.nih.gov//32506549/
[Cerebellar Scholars' Challenging Time in COVID-19 Pandemia - PubMed],No Keywords,"[                                          Novel coronavirus, SARS-CoV2, has caused pandemic of highly contagious disease called coronavirus disease 2019 (COVID-19), with epicenters in China, Italy, Spain, and the USA. Primarily affecting the human respiratory system, SARS-CoV2 has some impact on the human brain, but apparently minimal on the cerebellum, at least so far. Neurological involvement in the acute phase appears to manifest with confusion, dizziness, impaired consciousness, propensity to develop acute strokes, anosmia, hypogeusia, ataxia, epilepsy, and neuralgia. Cerebellar scholars are facing a time of uncertainty. Telemedicine has suddenly emerged as an alternative to follow patients. There is an urgent need to develop novel platforms to assess and follow ataxic patients remotely, especially because cerebellar patients often require ambulatory care to maintain their autonomy.                                ]",https://pubmed.ncbi.nlm.nih.gov//32301047/
[Collaborative Delirium Prevention in the Age of COVID-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32277467/
[Neurologic Manifestations of COVID-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32539010/
"[Risk Factors for Disease Severity, Unimprovement, and Mortality in COVID-19 Patients in Wuhan, China - PubMed]",                  Keywords:                        COVID-19; disease severity; mortality; patients; unimprovement.      ,"[                                              Objective:                    In December 2019, coronavirus disease (COVID-19) emerged in Wuhan. However, the characteristics and risk factors associated with disease severity, unimprovement and mortality are unclear and our objective is to throw some light on these.                                                        Methods:                    All consecutive patients diagnosed with COVID-19 admitted to the Renmin Hospital of Wuhan University from January 11 to February 6, 2020, were enrolled in this retrospective cohort study.                                                        Results:                    A total of 663 COVID-19 patients were included in this study. Among these, 247 (37.3%) had at least one kind of chronic disease; 0.5% of the patients (n = 3) were diagnosed with mild COVID-19, while 37.8% (251/663), 47.5% (315/663), and 14.2% (94/663) were in moderate, severe, and critical conditions, respectively. In our hospital, during follow-up 251 of 663 patients (37.9%) improved and 25 patients died, a mortality rate of 3.77%. Older patients (&gt;60 years old) and those with chronic diseases were prone to have a severe to critical COVID-19 condition, to show unimprovement, and to die (p &lt;0.001, &lt;0.001). Multivariate logistic regression analysis identified being male (OR = 0.486, 95%CI 0.311-0.758; p 0.001), having a severe COVID-19 condition (OR = 0.129, 95%CI 0.082-0.201; p &lt;0.001), expectoration (OR = 1.796, 95%CI 1.062-3.036; p 0.029), muscle ache (OR = 0.309, 95%CI 0.153-0.626; p 0.001), and decreased albumin (OR = 1.929, 95%CI 1.199-3.104; p 0.007) as being associated with unimprovement in COVID-19 patients.                                                        Conclusion:                    Male sex, a severe COVID-19 condition, expectoration, muscle ache, and decreased albumin were independent risk factors which influence the improvement of COVID-19 patients.                                ]",https://pubmed.ncbi.nlm.nih.gov//32304745/
[Updates on What ACS Reported: Emerging Evidences of COVID-19 With Nervous System Involvement - PubMed],                  Keywords:                        CNS in COVID-19; COVID-19; Coronavirus; Neurological signs and symptoms in COVID-19; Pandemic; SARS-CoV-2.      ,"[                                          With the ongoing pandemic of coronavirus disease (COVID-19) caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), our knowledge of the pathogenesis of COVID-19 is still in its infancy. Almost every aspect of the pathogen remains largely unknown, ranging from mechanisms involved in infection transmission, interplay with the human immune system, and covert mechanisms of end-organ damage. COVID-19 has manifested itself worldwide with a syndromic appearance that is dominated by respiratory dysregulations. While clinicians are focused on correcting respiratory homeostasis, echoing the original SARS, SARS-CoV-2 is also invading other end-organs, which may not exhibit overt clinical features. Nervous system involvement was not initially considered to play a significant role in patients with COVID-19. However, since this viewpoint was initially published, multiple studies have been released regarding the possible neurovirulence of SARS-CoV-2. In our previous viewpoint, we implored our colleagues to recognize the covert tactics of SARS-CoV-2 and emphasized that symptoms like anosmia, dysgeusia, ataxia, and altered mental status could be early signs of the neurotropic potential of this virus. The past few weeks, after the viewpoint surfaced, it was noticed that it has enabled clinicians and healthcare professionals to compute the neurovirulence associated with SARS-CoV-2 in COVID-19 patients, as evidenced by very recently reported studies.                                ]",https://pubmed.ncbi.nlm.nih.gov//32343122/
[Gastrointestinal Presentation in COVID-19 in Indonesia: A Case Report - PubMed],"                  Keywords:                        Abdominal Pain, Gastrointestinal Symptom; COVID-19; Indonesia; SARS-CoV-2.      ","[                                          Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is currently causing a widespread infection in the world. During the pandemic, physicians may need to raise the index of suspicion earlier in at-risk patients presenting with gastrointestinal symptoms, which are uncommon findings in coronavirus disease 2019 (COVID-19) patients. We report a patient in Indonesia with chest pain and gastrointestinal symptoms who was later confirmed to have SARS-CoV-2 infection after spending days of hospitalisation in the standard ward.                                ]",https://pubmed.ncbi.nlm.nih.gov//32291373/
[Cardiac Arrest in the COVID-19 Era - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32324049/
[Novelty in the Gut: A Systematic Review and Meta-Analysis of the Gastrointestinal Manifestations of COVID-19 - PubMed],                  Keywords:                        abdominal pain; diarrhoea; epidemiology; gastrointestinal pathology; infectious diarrhoea.      ,"[                                              Background:                    The COVID-19 epidemic has affected over 2.6 million people across 210 countries. Recent studies have shown that patients with COVID-19 experience relevant gastrointestinal (GI) symptoms. We aimed to perform a systematic review and meta-analysis on the GI symptoms of COVID-19.                                                        Methods:                    A literature search was conducted via electronic databases, including PubMed, Embase, Scopus, and Google Scholar, from inception until 20 March 2020. Data were extracted from relevant studies. A systematic review of GI symptoms and a meta-analysis comparing symptoms in severe and non-severe patients was performed using RevMan V.5.3.                                                        Results:                    Pooled data from 2477 patients with a reverse transcription-PCR-positive COVID-19 infection across 17 studies were analysed. Our study revealed that diarrhoea (7.8%) followed by nausea and/or vomiting (5.5 %) were the most common GI symptoms. We performed a meta-analysis comparing the odds of having GI symptoms in severe versus non-severe COVID-19-positive patients. 4 studies for nausea and/or vomiting, 5 studies for diarrhoea and 3 studies for abdominal pain were used for the analyses. There was no significant difference in the incidence of diarrhoea (OR=1.32, 95% CI 0.8 to 2.18, Z=1.07, p=0.28, I2=17%) or nausea and/or vomiting (OR=0.96, 95% CI 0.42 to 2.19, Z=0.10, p=0.92, I2=55%) between either group. However, there was seven times higher odds of having abdominal pain in patients with severe illness when compared with non-severe patients (OR=7.17, 95% CI 1.95 to 26.34, Z=2.97, p=0.003, I2=0%).                                                        Conclusion:                    Our study has reiterated that GI symptoms are an important clinical feature of COVID-19. Patients with severe disease are more likely to have abdominal pain as compared with patients with non-severe disease.                                ]",https://pubmed.ncbi.nlm.nih.gov//32457035/
[Delirium and Sleep Disturbances in COVID-19: A Possible Role for Melatonin in Hospitalized Patients? - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32361215/
[The Digestive System and the COVID-19 - PubMed],"                  Keywords:                        COVID-19, Coronavirus, Diarrhoea, Digestive symptoms..      ","[                                          The current pandemic coronavirus disease (COVID-19) is an ongoing healthcare crisis. While COVID- 19 typically presents as fever and respiratory illness, almost 50% of the patients also have associated digestive symptoms which vary from abdominal pain to diarrhoea and indigestion. Literature review of association of COVID- 19 with digestive symptoms was done using Google search and the results are presented herein.                                ]",https://pubmed.ncbi.nlm.nih.gov//32515381/
[Autonomic Brain Centers and Pathophysiology of COVID-19 - PubMed],                  Keywords:                        COVID-19; Coronavirus; central nervous system; food intake control; nausea and vomiting.      ,"[                                          Accumulating data have now shown strong evidence that COVID-19 infection leads to the occurrence of neurological signs with different injury severity. Anosmia and agueusia are now well documented and included in the criteria list for diagnosis, and specialists have stressed that doctors screen COVID-19 patients for these two signs. The eventual brainstem dysregulation, due to the invasion of SARS CoV-2, as a cause of respiratory problems linked to COVID-19, has also been extensively discussed. All these findings lead to an implication of the central nervous system in the pathophysiology of COVID-19. Here we provide additional elements that could explain other described signs like appetite loss, vomiting, and nausea. For this, we investigated the role of brainstem structures located in the medulla oblongata involved in food intake and vomiting control. We also discussed the possible pathways the virus uses to reach the brainstem, i.e., neurotropic and hematogenous (with its two variants) routes.                                ]",https://pubmed.ncbi.nlm.nih.gov//32427468/
[The Value of Headache-Specific Recommendations During COVID-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32337725/
[Neurologic Features in Severe SARS-CoV-2 Infection - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32294339/
[Neurological Manifestations of COVID-19 - PubMed],"                  Keywords:                        Coronavirus, SARS-CoV-2, COVID-19, ACE 2, Neurotoxicity, Brain, Seizures..      ","[                                          Coronavirus disease (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS CoV-2) has turned out to be a formidable pandemic. Upcoming evidence from confirmed cases of COVID-19 suggests an anticipated incursion of patients with neurological manifestations in the weeks to come. An expression of the angiotensin-converting enzyme 2 (ACE 2), the cellular receptor for SARS-CoV-2 over the glial cells and neurons have made the brain a potential target. Neurotoxicity may occur as a result of direct, indirect and post-infectious complications. Attention to neurological deficits in COVID-19 is fundamental to ensure appropriate, timely, beneficial management of the affected patients. Most common neurological manifestations seen include dizziness, headache, impaired consciousness, acute cerebrovascular disease, ataxia, and seizures. Anosmia and ageusia have recently been hinted as significant early symptoms in COVID-19. As cases with neurological deficits in COVID-19 emerge, the overall prognosis is yet unknown.                                ]",https://pubmed.ncbi.nlm.nih.gov//32515379/
